"","Area","Item","Element","Year","Value","Unit"
"130420","Africa","All Crops","Emissions (N2O)","1977","1.7246","kilotonnes"
"130421","Africa","All Crops","Emissions (N2O)","1978","1.7199","kilotonnes"
"130422","Africa","All Crops","Emissions (N2O)","1979","1.708","kilotonnes"
"130423","Africa","All Crops","Emissions (N2O)","1980","1.7147","kilotonnes"
"130424","Africa","All Crops","Emissions (N2O)","1981","1.7081","kilotonnes"
"130425","Africa","All Crops","Emissions (N2O)","1982","1.7521","kilotonnes"
"130426","Africa","All Crops","Emissions (N2O)","1983","1.8198","kilotonnes"
"130427","Africa","All Crops","Emissions (N2O)","1984","1.8379","kilotonnes"
"130428","Africa","All Crops","Emissions (N2O)","1985","1.9085","kilotonnes"
"130429","Africa","All Crops","Emissions (N2O)","1986","2.0705","kilotonnes"
"130430","Africa","All Crops","Emissions (N2O)","1987","2.1409","kilotonnes"
"130431","Africa","All Crops","Emissions (N2O)","1988","2.1755","kilotonnes"
"130432","Africa","All Crops","Emissions (N2O)","1989","2.2631","kilotonnes"
"130433","Africa","All Crops","Emissions (N2O)","1990","2.2706","kilotonnes"
"130434","Africa","All Crops","Emissions (N2O)","1991","2.2969","kilotonnes"
"130435","Africa","All Crops","Emissions (N2O)","1992","2.2917","kilotonnes"
"130436","Africa","All Crops","Emissions (N2O)","1993","2.3469","kilotonnes"
"130437","Africa","All Crops","Emissions (N2O)","1994","2.4343","kilotonnes"
"130438","Africa","All Crops","Emissions (N2O)","1995","2.3081","kilotonnes"
"130439","Africa","All Crops","Emissions (N2O)","1996","2.3962","kilotonnes"
"130440","Africa","All Crops","Emissions (N2O)","1997","2.3681","kilotonnes"
"130441","Africa","All Crops","Emissions (N2O)","1998","2.3848","kilotonnes"
"130442","Africa","All Crops","Emissions (N2O)","1999","2.2903","kilotonnes"
"130443","Africa","All Crops","Emissions (N2O)","2000","2.2752","kilotonnes"
"130444","Africa","All Crops","Emissions (N2O)","2001","2.2783","kilotonnes"
"130445","Africa","All Crops","Emissions (N2O)","2002","2.3899","kilotonnes"
"130446","Africa","All Crops","Emissions (N2O)","2003","2.6207","kilotonnes"
"130447","Africa","All Crops","Emissions (N2O)","2004","2.6003","kilotonnes"
"130448","Africa","All Crops","Emissions (N2O)","2005","2.753","kilotonnes"
"130449","Africa","All Crops","Emissions (N2O)","2006","2.6862","kilotonnes"
"130450","Africa","All Crops","Emissions (N2O)","2007","2.6542","kilotonnes"
"130451","Africa","All Crops","Emissions (N2O)","2008","2.8672","kilotonnes"
"130452","Africa","All Crops","Emissions (N2O)","2009","2.8151","kilotonnes"
"130453","Africa","All Crops","Emissions (N2O)","2010","3.0854","kilotonnes"
"130454","Africa","All Crops","Emissions (N2O)","2011","3.2379","kilotonnes"
"130455","Africa","All Crops","Emissions (N2O)","2012","3.3651","kilotonnes"
"130456","Africa","All Crops","Emissions (N2O)","2013","3.4722","kilotonnes"
"130457","Africa","All Crops","Emissions (N2O)","2014","3.542","kilotonnes"
"130458","Africa","All Crops","Emissions (N2O)","2015","3.5598","kilotonnes"
"130459","Africa","All Crops","Emissions (N2O)","2016","3.7264","kilotonnes"
"130460","Africa","All Crops","Emissions (N2O)","2017","3.8657","kilotonnes"
"130461","Africa","All Crops","Emissions (N2O)","2018","3.8411","kilotonnes"
"130462","Africa","All Crops","Emissions (N2O)","2019","3.9091","kilotonnes"
"130463","Africa","All Crops","Emissions (N2O)","2020","4.0271","kilotonnes"
"130464","Africa","All Crops","Emissions (N2O)","2030","3.418","kilotonnes"
"130465","Africa","All Crops","Emissions (N2O)","2050","3.9383","kilotonnes"
"130466","Africa","All Crops","Emissions (CH4)","1961","54.5926","kilotonnes"
"130467","Africa","All Crops","Emissions (CH4)","1962","56.1299","kilotonnes"
"130468","Africa","All Crops","Emissions (CH4)","1963","56.994","kilotonnes"
"130469","Africa","All Crops","Emissions (CH4)","1964","58.676","kilotonnes"
"130470","Africa","All Crops","Emissions (CH4)","1965","58.9821","kilotonnes"
"130471","Africa","All Crops","Emissions (CH4)","1966","58.8649","kilotonnes"
"130472","Africa","All Crops","Emissions (CH4)","1967","62.097","kilotonnes"
"130473","Africa","All Crops","Emissions (CH4)","1968","63.6977","kilotonnes"
"130474","Africa","All Crops","Emissions (CH4)","1969","63.9797","kilotonnes"
"130475","Africa","All Crops","Emissions (CH4)","1970","64.0448","kilotonnes"
"130476","Africa","All Crops","Emissions (CH4)","1971","64.8192","kilotonnes"
"130477","Africa","All Crops","Emissions (CH4)","1972","66.5511","kilotonnes"
"130478","Africa","All Crops","Emissions (CH4)","1973","64.7615","kilotonnes"
"130479","Africa","All Crops","Emissions (CH4)","1974","67.3762","kilotonnes"
"130480","Africa","All Crops","Emissions (CH4)","1975","67.8766","kilotonnes"
"130481","Africa","All Crops","Emissions (CH4)","1976","69.6499","kilotonnes"
"130482","Africa","All Crops","Emissions (CH4)","1977","66.5218","kilotonnes"
"130483","Africa","All Crops","Emissions (CH4)","1978","66.3384","kilotonnes"
"130484","Africa","All Crops","Emissions (CH4)","1979","65.8819","kilotonnes"
"130485","Africa","All Crops","Emissions (CH4)","1980","66.1366","kilotonnes"
"130486","Africa","All Crops","Emissions (CH4)","1981","65.882","kilotonnes"
"130487","Africa","All Crops","Emissions (CH4)","1982","67.5796","kilotonnes"
"130488","Africa","All Crops","Emissions (CH4)","1983","70.1929","kilotonnes"
"130489","Africa","All Crops","Emissions (CH4)","1984","70.8898","kilotonnes"
"130490","Africa","All Crops","Emissions (CH4)","1985","73.6148","kilotonnes"
"130491","Africa","All Crops","Emissions (CH4)","1986","79.8607","kilotonnes"
"130492","Africa","All Crops","Emissions (CH4)","1987","82.5765","kilotonnes"
"130493","Africa","All Crops","Emissions (CH4)","1988","83.9133","kilotonnes"
"130494","Africa","All Crops","Emissions (CH4)","1989","87.2922","kilotonnes"
"130495","Africa","All Crops","Emissions (CH4)","1990","87.5801","kilotonnes"
"130496","Africa","All Crops","Emissions (CH4)","1991","88.5935","kilotonnes"
"130497","Africa","All Crops","Emissions (CH4)","1992","88.394","kilotonnes"
"130498","Africa","All Crops","Emissions (CH4)","1993","90.5244","kilotonnes"
"130499","Africa","All Crops","Emissions (CH4)","1994","93.893","kilotonnes"
"130500","Africa","All Crops","Emissions (CH4)","1995","89.0255","kilotonnes"
"130501","Africa","All Crops","Emissions (CH4)","1996","92.4258","kilotonnes"
"130502","Africa","All Crops","Emissions (CH4)","1997","91.3397","kilotonnes"
"130503","Africa","All Crops","Emissions (CH4)","1998","91.985","kilotonnes"
"130504","Africa","All Crops","Emissions (CH4)","1999","88.3389","kilotonnes"
"130505","Africa","All Crops","Emissions (CH4)","2000","87.7581","kilotonnes"
"130506","Africa","All Crops","Emissions (CH4)","2001","87.8773","kilotonnes"
"130507","Africa","All Crops","Emissions (CH4)","2002","92.182","kilotonnes"
"130508","Africa","All Crops","Emissions (CH4)","2003","101.0848","kilotonnes"
"130509","Africa","All Crops","Emissions (CH4)","2004","100.2982","kilotonnes"
"130510","Africa","All Crops","Emissions (CH4)","2005","106.1883","kilotonnes"
"130511","Africa","All Crops","Emissions (CH4)","2006","103.6107","kilotonnes"
"130512","Africa","All Crops","Emissions (CH4)","2007","102.3748","kilotonnes"
"130513","Africa","All Crops","Emissions (CH4)","2008","110.5905","kilotonnes"
"130514","Africa","All Crops","Emissions (CH4)","2009","108.5833","kilotonnes"
"130515","Africa","All Crops","Emissions (CH4)","2010","119.0081","kilotonnes"
"130516","Africa","All Crops","Emissions (CH4)","2011","124.8915","kilotonnes"
"130517","Africa","All Crops","Emissions (CH4)","2012","129.7956","kilotonnes"
"130518","Africa","All Crops","Emissions (CH4)","2013","133.9285","kilotonnes"
"130519","Africa","All Crops","Emissions (CH4)","2014","136.6186","kilotonnes"
"130520","Africa","All Crops","Emissions (CH4)","2015","137.3049","kilotonnes"
"130521","Africa","All Crops","Emissions (CH4)","2016","143.7309","kilotonnes"
"130522","Africa","All Crops","Emissions (CH4)","2017","149.1057","kilotonnes"
"130523","Africa","All Crops","Emissions (CH4)","2018","148.155","kilotonnes"
"130524","Africa","All Crops","Emissions (CH4)","2019","150.7804","kilotonnes"
"130525","Africa","All Crops","Emissions (CH4)","2020","155.3304","kilotonnes"
"130526","Africa","All Crops","Emissions (CH4)","2030","131.8356","kilotonnes"
"130527","Africa","All Crops","Emissions (CH4)","2050","151.9043","kilotonnes"
"130528","Africa","Maize (corn)","Biomass burned (dry matter)","1961","15461095.0","tonnes"
"130529","Africa","Maize (corn)","Biomass burned (dry matter)","1962","15814174.0","tonnes"
"130530","Africa","Maize (corn)","Biomass burned (dry matter)","1963","15909401.0","tonnes"
"130531","Africa","Maize (corn)","Biomass burned (dry matter)","1964","16508202.0","tonnes"
"130532","Africa","Maize (corn)","Biomass burned (dry matter)","1965","16497703.0","tonnes"
"130533","Africa","Maize (corn)","Biomass burned (dry matter)","1966","16686737.0","tonnes"
"130534","Africa","Maize (corn)","Biomass burned (dry matter)","1967","17337562.0","tonnes"
"130535","Africa","Maize (corn)","Biomass burned (dry matter)","1968","17604062.0","tonnes"
"130536","Africa","Maize (corn)","Biomass burned (dry matter)","1969","17635390.0","tonnes"
"130537","Africa","Maize (corn)","Biomass burned (dry matter)","1970","17465843.0","tonnes"
"130538","Africa","Maize (corn)","Biomass burned (dry matter)","1971","17693834.0","tonnes"
"130539","Africa","Maize (corn)","Biomass burned (dry matter)","1972","18178786.0","tonnes"
"130540","Africa","Maize (corn)","Biomass burned (dry matter)","1973","17618624.0","tonnes"
"130541","Africa","Maize (corn)","Biomass burned (dry matter)","1974","18640488.0","tonnes"
"130542","Africa","Maize (corn)","Biomass burned (dry matter)","1975","18745365.0","tonnes"
"130543","Africa","Maize (corn)","Biomass burned (dry matter)","1976","19196418.0","tonnes"
"130544","Africa","Maize (corn)","Biomass burned (dry matter)","1977","18176934.0","tonnes"
"130545","Africa","Maize (corn)","Biomass burned (dry matter)","1978","18148616.0","tonnes"
"130546","Africa","Maize (corn)","Biomass burned (dry matter)","1979","17802726.0","tonnes"
"130547","Africa","Maize (corn)","Biomass burned (dry matter)","1980","18056989.0","tonnes"
"130548","Africa","Maize (corn)","Biomass burned (dry matter)","1981","17948879.0","tonnes"
"130549","Africa","Maize (corn)","Biomass burned (dry matter)","1982","18440271.0","tonnes"
"130550","Africa","Maize (corn)","Biomass burned (dry matter)","1983","19438965.0","tonnes"
"130551","Africa","Maize (corn)","Biomass burned (dry matter)","1984","19604764.0","tonnes"
"130552","Africa","Maize (corn)","Biomass burned (dry matter)","1985","20433749.0","tonnes"
"130553","Africa","Maize (corn)","Biomass burned (dry matter)","1986","22652715.0","tonnes"
"130554","Africa","Maize (corn)","Biomass burned (dry matter)","1987","23552576.0","tonnes"
"130555","Africa","Maize (corn)","Biomass burned (dry matter)","1988","24181253.5","tonnes"
"130556","Africa","Maize (corn)","Biomass burned (dry matter)","1989","24566917.0","tonnes"
"130557","Africa","Maize (corn)","Biomass burned (dry matter)","1990","24932148.0","tonnes"
"130558","Africa","Maize (corn)","Biomass burned (dry matter)","1991","24695809.0","tonnes"
"130559","Africa","Maize (corn)","Biomass burned (dry matter)","1992","25117925.0","tonnes"
"130560","Africa","Maize (corn)","Biomass burned (dry matter)","1993","25938512.0","tonnes"
"130561","Africa","Maize (corn)","Biomass burned (dry matter)","1994","27023883.0","tonnes"
"130562","Africa","Maize (corn)","Biomass burned (dry matter)","1995","25117586.0","tonnes"
"130563","Africa","Maize (corn)","Biomass burned (dry matter)","1996","25205053.0","tonnes"
"130564","Africa","Maize (corn)","Biomass burned (dry matter)","1997","25610930.0","tonnes"
"130565","Africa","Maize (corn)","Biomass burned (dry matter)","1998","25075405.0","tonnes"
"130566","Africa","Maize (corn)","Biomass burned (dry matter)","1999","24335595.0","tonnes"
"130567","Africa","Maize (corn)","Biomass burned (dry matter)","2000","24248256.0","tonnes"
"130568","Africa","Maize (corn)","Biomass burned (dry matter)","2001","23972540.0","tonnes"
"130569","Africa","Maize (corn)","Biomass burned (dry matter)","2002","25645057.0","tonnes"
"130570","Africa","Maize (corn)","Biomass burned (dry matter)","2003","28272408.0","tonnes"
"130571","Africa","Maize (corn)","Biomass burned (dry matter)","2004","27782099.0","tonnes"
"130572","Africa","Maize (corn)","Biomass burned (dry matter)","2005","29594491.0","tonnes"
"130573","Africa","Maize (corn)","Biomass burned (dry matter)","2006","28329003.0","tonnes"
"130574","Africa","Maize (corn)","Biomass burned (dry matter)","2007","28481468.0","tonnes"
"130575","Africa","Maize (corn)","Biomass burned (dry matter)","2008","31443915.0","tonnes"
"130576","Africa","Maize (corn)","Biomass burned (dry matter)","2009","30300595.0","tonnes"
"130577","Africa","Maize (corn)","Biomass burned (dry matter)","2010","33241477.0","tonnes"
"130578","Africa","Maize (corn)","Biomass burned (dry matter)","2011","35334580.0","tonnes"
"130579","Africa","Maize (corn)","Biomass burned (dry matter)","2012","36383532.0","tonnes"
"130580","Africa","Maize (corn)","Biomass burned (dry matter)","2013","37692582.0","tonnes"
"130581","Africa","Maize (corn)","Biomass burned (dry matter)","2014","38460081.0","tonnes"
"130582","Africa","Maize (corn)","Biomass burned (dry matter)","2015","38508328.0","tonnes"
"130583","Africa","Maize (corn)","Biomass burned (dry matter)","2016","39923809.0","tonnes"
"130584","Africa","Maize (corn)","Biomass burned (dry matter)","2017","41235118.0","tonnes"
"130585","Africa","Maize (corn)","Biomass burned (dry matter)","2018","40152639.0","tonnes"
"130586","Africa","Maize (corn)","Biomass burned (dry matter)","2019","41595486.0","tonnes"
"130587","Africa","Maize (corn)","Biomass burned (dry matter)","2020","43070896.0","tonnes"
"130588","Africa","Maize (corn)","Biomass burned (dry matter)","2030","36159156.8305","tonnes"
"130589","Africa","Maize (corn)","Biomass burned (dry matter)","2050","41098716.4117","tonnes"
"130590","Africa","Maize (corn)","Emissions (N2O)","1961","1.0823","kilotonnes"
"130591","Africa","Maize (corn)","Emissions (N2O)","1962","1.107","kilotonnes"
"130592","Africa","Maize (corn)","Emissions (N2O)","1963","1.1137","kilotonnes"
